City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,udachny,66.4167,112.4,30.45,100,96,14.74,RU,1696232523
84,fada,9.5667,8.3,71.02,94,100,1.52,NG,1696232523
85,new norfolk,-42.7826,147.0587,65.91,40,0,6.49,AU,1696232523
86,tiksi,71.6872,128.8694,22.5,78,17,3.27,RU,1696232524
87,coahuayana de hidalgo,18.7,-103.6583,79.43,94,91,2.44,MX,1696232524
88,sinop,41.7711,34.8709,66.63,55,98,10.25,TR,1696232524
89,invercargill,-46.4,168.35,44.02,75,97,14.0,NZ,1696232524
90,pullman,46.7313,-117.1796,53.83,78,100,0.0,US,1696232524
91,timbuktu,16.7735,-3.0074,93.18,30,37,11.01,ML,1696232524
92,nogliki,51.8333,143.1667,51.35,96,100,25.01,RU,1696232524
93,prado,-17.3411,-39.2208,69.35,90,97,5.12,BR,1696232272
94,ribeira grande,38.5167,-28.7,66.6,55,20,10.0,PT,1696232525
95,kapuskasing,49.4169,-82.4331,62.69,94,100,6.91,CA,1696232525
96,isafjordur,66.0755,-23.124,42.84,75,75,19.57,IS,1696232525
97,luganville,-15.5333,167.1667,76.41,84,100,17.07,VU,1696232525
98,lompoc,34.6391,-120.4579,55.81,87,0,5.01,US,1696232476
99,ingeniero jacobacci,-41.3427,-69.5448,42.28,63,34,8.14,AR,1696232525
100,ballina,-28.8667,153.5667,70.83,70,0,14.79,AU,1696232525
101,callaway,30.153,-85.5699,69.73,82,0,8.05,US,1696232525
102,vanino,49.0869,140.2543,49.93,85,100,16.4,RU,1696232525
103,selfoss,63.9331,-20.9971,41.29,78,69,11.72,IS,1696232526
104,papatowai,-46.5619,169.4708,42.42,69,98,20.69,NZ,1696232526
105,jwaneng,-24.6004,24.7303,73.99,36,0,24.05,BW,1696232526
106,atafu village,-8.5421,-172.5159,83.35,74,21,9.64,TK,1696232526
107,ghat,24.9647,10.1728,83.05,33,0,6.51,LY,1696232526
108,bunol,39.4167,-0.7833,68.76,43,0,2.17,ES,1696232406
109,bilibino,68.0546,166.4372,29.95,98,100,2.71,RU,1696232526
110,dazhou,31.2159,107.5009,65.3,97,100,4.83,CN,1696232526
111,antalaha,-14.9003,50.2788,79.63,69,18,9.1,MG,1696232526
112,el calafate,-50.3408,-72.2768,36.3,68,100,3.04,AR,1696232527
113,marco island,25.9363,-81.7157,77.0,96,100,6.91,US,1696232527
114,petropavlovsk-kamchatsky,53.0452,158.6483,46.49,94,100,15.66,RU,1696232527
115,klyuchi,52.2667,79.1667,56.71,35,0,8.68,RU,1696232527
116,walvis bay,-22.9575,14.5053,65.53,57,0,6.51,NA,1696232527
117,las tablas,7.7667,-80.2833,77.79,90,100,1.72,PA,1696232527
118,hwacheon,38.1061,127.7067,74.95,59,33,1.45,KR,1696232527
119,dudinka,69.4058,86.1778,22.62,86,100,10.0,RU,1696232528
120,georgetown,5.4112,100.3354,89.94,69,40,9.22,MY,1696232459
121,touros,-5.1989,-35.4608,77.34,73,100,11.7,BR,1696232528
122,berthoud,47.059,7.6279,66.2,94,0,4.61,CH,1696232528
123,nova xavantina,-14.6667,-52.35,79.75,53,25,3.36,BR,1696232528
124,aldama,22.9167,-98.0667,77.38,92,27,3.47,MX,1696232528
125,akureyri,65.6835,-18.0878,42.73,81,100,6.91,IS,1696232528
126,alamosa,37.4695,-105.87,53.58,66,0,8.05,US,1696232528
127,holbeach,52.804,0.0144,62.02,96,100,4.61,GB,1696232529
128,keflavik,64.0049,-22.5624,48.11,76,0,23.02,IS,1696232529
129,hami,42.8,93.45,74.62,20,0,1.34,CN,1696232529
130,fort st. john,56.2499,-120.8529,46.29,76,100,11.5,CA,1696232529
131,taltal,-25.4,-70.4833,58.75,78,6,1.79,CL,1696232529
132,kristiansund,63.1115,7.732,54.25,76,40,6.91,NO,1696232529
133,ambatondrazaka,-17.8333,48.4167,86.77,37,1,2.24,MG,1696232529
134,fale old settlement,-9.3852,-171.2468,81.57,81,100,8.08,TK,1696232529
135,khandyga,62.6667,135.6,43.32,91,90,4.85,RU,1696232530
136,port elizabeth,-33.918,25.5701,70.11,65,0,14.97,ZA,1696232530
137,omdurman,15.6445,32.4777,98.15,28,48,7.07,SD,1696232530
138,east london,-33.0153,27.9116,67.14,55,0,13.8,ZA,1696232530
139,jiuquan,39.7432,98.5174,70.7,20,0,8.01,CN,1696232530
140,san onofre,9.7359,-75.5263,79.16,91,100,3.15,CO,1696232530
141,kefamenanu,-9.4467,124.4781,84.16,45,60,9.95,ID,1696232530
142,kalach,50.4258,41.0261,70.14,32,100,6.2,RU,1696232530
143,kirensk,57.7853,108.1119,36.01,61,100,11.01,RU,1696232531
144,kruisfontein,-34.0033,24.7314,67.89,41,0,9.8,ZA,1696232531
145,la passe,45.5549,-0.8967,70.03,55,55,12.95,FR,1696232531
146,priozersk,61.0393,30.1291,56.1,74,98,4.59,RU,1696232531
147,copiapo,-27.3667,-70.3333,53.29,75,3,4.14,CL,1696232367
148,albany,42.6001,-73.9662,60.64,94,48,1.01,US,1696232531
149,bredasdorp,-34.5322,20.0403,69.1,43,0,6.35,ZA,1696232531
150,zemio,5.0314,25.1361,85.98,62,94,1.21,CF,1696232531
151,ardakan,32.31,54.0175,86.56,11,47,5.08,IR,1696232532
152,ruidoso,33.3317,-105.673,66.27,95,100,3.44,US,1696232453
153,holualoa,19.6228,-155.9522,76.84,81,0,5.75,US,1696232532
154,luderitz,-26.6481,15.1594,67.59,60,0,4.97,NA,1696232532
155,saldanha,-33.0117,17.9442,70.63,39,0,3.49,ZA,1696232532
156,masumbwe,-3.6333,32.1833,86.72,29,100,8.25,TZ,1696232532
157,boguchany,58.3814,97.4531,38.86,53,100,10.0,RU,1696232532
158,mokhsogollokh,61.4681,128.9203,46.04,66,100,1.23,RU,1696232532
159,kuching,1.55,110.3333,93.42,61,40,3.44,MY,1696232533
160,iskateley,67.6803,53.1512,51.03,96,100,8.01,RU,1696232533
161,piti village,13.4626,144.6933,88.68,78,20,19.57,GU,1696232533
162,fuglafjordur,62.244,-6.814,50.47,86,100,17.2,FO,1696232533
163,springbok,-29.6643,17.8865,78.35,20,0,11.14,ZA,1696232533
164,luau,-10.7073,22.2247,87.42,30,94,4.63,AO,1696232533
165,wailua homesteads,22.0669,-159.378,79.23,86,75,12.66,US,1696232533
166,eaton rapids,42.5092,-84.6558,59.02,94,0,0.0,US,1696232533
167,pahrump,36.2083,-115.9839,57.25,59,59,4.0,US,1696232356
168,san antonio de pale,-1.4014,5.6325,77.38,84,100,10.16,GQ,1696232534
169,enewetak,11.3474,162.3373,84.61,75,96,13.18,MH,1696232534
170,morondava,-20.2833,44.2833,84.27,50,0,16.15,MG,1696232534
171,tolanaro,-25.0319,46.9987,69.87,94,75,16.11,MG,1696232534
172,lebu,-37.6167,-73.65,45.39,87,96,3.22,CL,1696232534
173,new plymouth,-39.0667,174.0833,51.31,86,100,16.28,NZ,1696232534
174,fort bragg,35.139,-79.006,62.8,94,0,3.44,US,1696232534
175,hazaribagh,23.9833,85.35,80.65,80,69,13.85,IN,1696232534
176,tazacorte,28.629,-17.9293,74.37,78,75,9.22,ES,1696232535
177,malanje,-9.5402,16.341,78.94,60,15,2.42,AO,1696232535
178,constantia,44.1833,28.65,66.88,46,17,18.99,RO,1696232535
179,kipushi,-11.7667,27.2333,80.15,19,12,13.91,CD,1696232535
180,bamboo flat,11.7,92.7167,81.01,83,100,11.81,IN,1696232535
181,nemuro,43.3236,145.575,61.3,71,3,15.46,JP,1696232535
182,tshikapa,-6.4167,20.8,88.93,52,12,1.5,CD,1696232535
183,nova sintra,14.8667,-24.7167,74.62,80,99,13.02,CV,1696232535
184,nova vicosa,-17.8919,-39.3719,71.15,83,100,3.11,BR,1696232536
185,bosaso,11.2842,49.1816,87.78,70,20,11.5,SO,1696232536
186,ulsteinvik,62.3432,5.8487,56.75,77,53,13.0,NO,1696232536
187,balabac,7.9868,117.0645,84.45,74,100,15.08,PH,1696232536
188,taro,-8.3862,115.28,77.0,64,92,5.32,ID,1696232536
189,poronaysk,49.2167,143.1167,57.29,78,96,5.46,RU,1696232536
190,nago,26.5881,127.9761,88.65,79,28,13.27,JP,1696232536
191,jaumave,23.4167,-99.3833,69.08,91,31,2.26,MX,1696232536
192,chippewa falls,44.9369,-91.3929,70.99,76,0,8.05,US,1696232537
193,rabaul,-4.1967,152.1721,81.25,82,60,7.07,PG,1696232537
194,berriane,32.8265,3.7669,70.65,40,0,4.5,DZ,1696232537
195,aykhal,66.0,111.5,32.07,98,96,15.99,RU,1696232537
196,keren,15.7778,38.4581,86.5,17,0,15.57,ER,1696232537
197,altinekin,38.3078,32.8686,61.36,74,96,13.24,TR,1696232537
198,afaahiti,-17.75,-149.2833,78.67,88,18,17.63,PF,1696232537
199,hit,33.6416,42.8251,88.92,28,100,16.55,IQ,1696232537
200,oriximina,-1.7656,-55.8661,77.76,58,72,2.82,BR,1696232538
201,virac,13.6333,124.2167,77.94,79,100,11.32,PH,1696232538
202,west island,-12.1568,96.8225,82.38,65,40,19.57,CC,1696232538
203,flying fish cove,-10.4217,105.6791,80.28,69,40,13.8,CX,1696232538
204,pskov,57.8136,28.3496,50.92,87,0,6.71,RU,1696232538
205,sitka,57.0531,-135.33,51.69,87,100,4.61,US,1696232538
206,arawa,-6.2132,155.5367,79.14,93,100,4.92,PG,1696232538
207,ilhabela,-23.7781,-45.3581,68.56,91,98,4.97,BR,1696232538
208,vereshchagino,58.0789,54.6557,59.7,62,100,11.7,RU,1696232539
209,hammerfest,70.6634,23.6821,36.05,80,75,1.14,NO,1696232539
210,anzio,41.4853,12.6179,78.01,60,3,5.73,IT,1696232539
211,san patricio,28.017,-97.5169,82.35,83,25,8.3,US,1696232539
212,namibe,-15.1961,12.1522,70.86,65,2,3.87,AO,1696232539
213,serhiyivka,46.0272,30.3768,66.16,46,7,19.98,UA,1696232539
214,minas de marcona,-15.2119,-75.1103,56.59,90,92,7.7,PE,1696232539
215,rikaze,29.25,88.8833,68.31,29,88,2.66,CN,1696232539
216,la'ie,21.6477,-157.9253,80.56,77,46,7.0,US,1696232540
217,ugoofaaru,5.6667,73.0,80.71,81,97,11.39,MV,1696232540
218,nuuk,64.1835,-51.7216,34.41,80,40,13.8,GL,1696232540
219,eyl,7.9803,49.8164,89.51,56,17,15.23,SO,1696232540
220,hailey,43.5196,-114.3153,44.8,76,100,4.0,US,1696232540
221,aasiaat,68.7098,-52.8699,16.54,83,48,10.65,GL,1696232540
222,ebolowa,2.9,11.15,74.84,88,100,2.98,CM,1696232540
223,kabansk,52.0486,106.6528,46.18,38,1,7.78,RU,1696232541
224,bireun,5.203,96.7009,84.99,72,83,8.57,ID,1696232541
225,kapa'a,22.0752,-159.319,80.58,85,75,12.66,US,1696232541
226,huanan,46.2167,130.5167,55.22,57,82,8.28,CN,1696232541
227,lorengau,-2.0226,147.2712,82.04,78,41,5.7,PG,1696232541
228,nagqu,31.5,92.0,54.99,46,95,4.68,CN,1696232541
229,labuan,5.2767,115.2417,89.96,59,20,5.01,MY,1696232541
230,columbia falls,48.3725,-114.1815,50.92,80,100,3.44,US,1696232542
231,piton saint-leu,-21.2196,55.3151,78.87,61,0,8.05,RE,1696232542
232,washington,47.5001,-120.5015,55.8,62,100,4.83,US,1696232542
233,ibiruba,-28.6275,-53.0897,45.99,92,4,3.67,BR,1696232542
234,bodo,67.28,14.405,43.95,86,0,13.8,NO,1696232542
235,fortuna,40.5982,-124.1573,52.93,93,75,4.61,US,1696232542
236,cadale,2.7603,46.3222,82.8,72,4,16.42,SO,1696232542
237,saint-pierre,-21.3393,55.4781,80.28,61,0,8.05,RE,1696232542
238,beyneu,45.3167,55.2,74.05,28,21,13.35,KZ,1696232542
239,chinsali,-10.5414,32.0816,87.55,17,6,12.03,ZM,1696232543
240,nicoya,10.1483,-85.452,75.31,96,100,1.83,CR,1696232543
241,homer,59.6425,-151.5483,46.78,88,100,0.0,US,1696232543
242,at taj,24.2049,23.2857,81.9,28,100,12.91,LY,1696232543
243,arraial do cabo,-22.9661,-42.0278,69.84,97,100,10.13,BR,1696232543
244,tazovsky,67.4667,78.7,37.2,98,100,18.54,RU,1696232543
245,grand baie,-20.0182,57.5802,81.07,61,1,5.99,MU,1696232543
246,vieux-habitants,16.0589,-61.7659,83.77,80,100,8.41,GP,1696232543
247,sola,-13.8833,167.55,78.12,84,92,27.38,VU,1696232544
248,san rafael,-34.6177,-68.3301,60.06,51,17,3.44,AR,1696232544
249,san pedro del parana,-26.8333,-56.2,53.62,82,19,4.52,PY,1696232544
250,turgen,43.4006,77.5933,68.13,40,74,7.4,KZ,1696232544
251,kolonia,50.9333,6.95,68.41,80,0,4.61,DE,1696232544
252,kenai,60.5544,-151.2583,44.69,95,75,0.0,US,1696232544
253,ust'-ilimsk,58.0006,102.6619,35.22,71,100,10.0,RU,1696232259
254,ilulissat,69.2167,-51.1,28.42,50,0,3.44,GL,1696232545
255,labytnangi,66.6572,66.4183,46.06,96,100,14.0,RU,1696232545
256,la sarre,48.8002,-79.1996,53.78,90,98,7.2,CA,1696232335
257,barda,40.3744,47.1267,70.88,56,100,0.78,AZ,1696232545
258,uturoa,-16.7333,-151.4333,78.51,83,11,16.91,PF,1696232545
259,warrenton,-28.114,24.8475,77.49,32,0,17.83,ZA,1696232545
260,igra,57.5558,53.0547,60.22,61,100,10.89,RU,1696232545
261,mil'kovo,55.6078,37.7956,51.31,62,100,6.71,RU,1696232545
262,novyy urgal,51.0736,132.5642,54.99,71,100,2.71,RU,1696232546
263,yung shue wan,22.2333,114.1167,89.8,78,13,14.34,HK,1696232546
264,chonchi,-42.6128,-73.8092,38.41,97,16,1.95,CL,1696232546
265,concepcion,-36.827,-73.0498,48.0,76,100,3.44,CL,1696232546
266,tonj,7.2737,28.6822,87.85,57,100,3.36,SS,1696232546
267,marat,25.0701,45.4615,98.37,10,0,12.35,SA,1696232546
268,cabedelo,-6.9811,-34.8339,70.47,68,91,8.84,BR,1696232537
269,ulladulla,-35.35,150.4667,63.59,78,8,13.35,AU,1696232546
270,el-tor,28.2364,33.6254,82.54,65,75,26.46,EG,1696232546
271,mana,5.6592,-53.7767,76.91,87,42,10.31,GF,1696232547
272,ketchikan,55.3422,-131.6461,54.07,94,100,8.05,US,1696232547
273,undurkhaan,47.3194,110.6556,59.99,29,100,6.98,MN,1696232547
274,orenburg,51.7727,55.0988,64.06,41,100,9.82,RU,1696232343
275,carnarvon,-24.8667,113.6333,69.6,64,32,23.42,AU,1696232547
276,svendborg,55.0598,10.6068,61.86,92,100,14.34,DK,1696232547
277,hithadhoo,-0.6,73.0833,82.65,72,9,13.0,MV,1696232547
278,kelibia,36.8476,11.0939,73.65,88,40,3.44,TN,1696232547
279,alofi,-19.0595,-169.9187,71.49,73,75,11.5,NU,1696232548
280,zag,46.9441,99.165,48.63,32,83,12.86,MN,1696232548
281,tulun,54.5611,100.5792,45.12,47,99,4.74,RU,1696232548
282,gornopravdinsk,60.05,69.9,57.43,63,100,13.51,RU,1696232548
283,i-n-salah,27.1935,2.4607,82.56,30,0,21.65,DZ,1696232548
284,vinh long,10.25,105.9667,84.18,93,100,5.12,VN,1696232548
285,codrington,-38.2667,141.9667,71.33,60,0,5.53,AU,1696232548
286,tralee,52.2704,-9.7026,50.25,100,40,3.44,IE,1696232548
287,fallon,39.4735,-118.7774,49.87,87,100,4.61,US,1696232549
288,antofagasta,-23.65,-70.4,60.08,85,57,5.91,CL,1696232549
289,cockburn town,21.4612,-71.1419,83.14,76,72,12.28,TC,1696232549
290,cole harbour,44.6724,-63.4751,53.98,95,0,3.0,CA,1696232549
291,polyarnyy,69.1989,33.4478,38.73,66,47,17.02,RU,1696232549
292,karratha,-20.7377,116.8463,93.2,22,1,18.16,AU,1696232549
293,malango,-2.9627,119.9001,83.55,52,86,5.75,ID,1696232549
294,portland,45.5234,-122.6762,56.39,82,68,1.01,US,1696232272
295,muisne,0.6,-80.0333,75.54,84,100,6.08,EC,1696232549
296,dhi as sufal,13.8345,44.1147,77.83,23,0,6.67,YE,1696232550
297,san julian,21.0167,-102.1667,59.63,64,99,6.71,MX,1696232550
298,smolyaninovo,43.2956,132.4675,66.83,53,45,3.06,RU,1696232550
299,ternate,0.8,127.4,81.14,83,100,9.51,ID,1696232550
300,tha mai,12.6214,102.0048,82.89,85,65,8.34,TH,1696232550
301,gimbi,9.1667,35.8333,70.18,60,93,3.89,ET,1696232550
302,becerril,9.7041,-73.2793,75.94,94,100,1.43,CO,1696232550
303,volodarskiy,46.4013,48.5409,69.75,34,45,8.03,RU,1696232551
304,kudahuvadhoo,2.6708,72.8944,82.72,73,100,12.41,MV,1696232551
305,khovd,48.0056,91.6419,50.88,45,16,6.46,MN,1696232551
306,ibshaway,29.358,30.6814,81.73,44,79,8.95,EG,1696232551
307,howrah,22.5892,88.3103,84.2,89,75,3.44,IN,1696232466
